Tempo (us) 	 Tensione (mv)


-50.012080	-0.246000
-50.004080	0.095800
-49.996080	-0.172700
-49.988080	-0.148300
-49.980080	-0.349700
-49.972080	0.126300
-49.964080	-0.050700
-49.956080	0.175200
-49.948080	0.272800
-49.940080	-0.819700
-49.932080	-0.075100
-49.924080	0.272800
-49.916080	-0.618300
-49.908080	-0.050700
-49.900080	-0.197100
-49.892080	-0.691600
-49.884080	-0.221600
-49.876080	0.095800
-49.868080	-0.172700
-49.860080	0.394900
-49.852080	0.175200
-49.844080	0.272800
-49.836080	0.095800
-49.828080	0.047000
-49.820080	-0.270400
-49.812080	-0.520600
-49.804080	-0.099500
-49.796080	0.370500
-49.788080	-0.148300
-49.780080	-0.294800
-49.772080	-0.001800
-49.764080	-0.447400
-49.756080	-0.148300
-49.748080	-0.447400
-49.740080	-0.374200
-49.732080	-0.001800
-49.724080	0.547500
-49.716080	0.620700
-49.708080	-0.471800
-49.700080	-0.221600
-49.692080	0.492600
-49.684080	-0.740400
-49.676080	-0.618300
-49.668080	0.071400
-49.660080	-0.172700
-49.652080	-0.496200
-49.644080	0.248400
-49.636080	0.492600
-49.628080	-0.246000
-49.620080	-0.941800
-49.612080	0.297200
-49.604080	0.791700
-49.596080	-0.691600
-49.588080	0.047000
-49.580080	-0.123900
-49.572080	0.272800
-49.564080	-0.050700
-49.556080	-0.001800
-49.548080	-0.642700
-49.540080	0.346100
-49.532080	-0.349700
-49.524080	-0.197100
-49.516080	0.224000
-49.508080	-0.001800
-49.500080	-0.294800
-49.492080	-0.349700
-49.484080	0.248400
-49.476080	0.272800
-49.468080	-0.294800
-49.460080	-0.423000
-49.452080	0.047000
-49.444080	0.791700
-49.436080	0.224000
-49.428080	-0.893000
-49.420080	0.297200
-49.412080	0.468100
-49.404080	-0.447400
-49.396080	-0.642700
-49.388080	0.297200
-49.380080	0.150800
-49.372080	0.047000
-49.364080	-0.294800
-49.356080	0.150800
-49.348080	-0.050700
-49.340080	-0.496200
-49.332080	-0.374200
-49.324080	0.297200
-49.316080	-0.618300
-49.308080	-0.618300
-49.300080	0.297200
-49.292080	-0.172700
-49.284080	0.517000
-49.276080	0.199600
-49.268080	-0.221600
-49.260080	0.767200
-49.252080	-0.496200
-49.244080	-0.667100
-49.236080	0.346100
-49.228080	0.022600
-49.220080	-0.172700
-49.212080	-0.270400
-49.204080	0.321700
-49.196080	0.297200
-49.188080	-0.172700
-49.180080	0.443700
-49.172080	-0.221600
-49.164080	-0.026200
-49.156080	-0.099500
-49.148080	0.419300
-49.140080	0.547500
-49.132080	-0.246000
-49.124080	-0.471800
-49.116080	-0.246000
-49.108080	0.468100
-49.100080	-0.593900
-49.092080	-0.716000
-49.084080	0.492600
-49.076080	0.248400
-49.068080	-0.172700
-49.060080	0.022600
-49.052080	-0.496200
-49.044080	-0.148300
-49.036080	-0.123900
-49.028080	-0.294800
-49.020080	-0.374200
-49.012080	0.022600
-49.004080	-0.844100
-48.996080	-0.270400
-48.988080	0.150800
-48.980080	-0.270400
-48.972080	-0.148300
-48.964080	-0.050700
-48.956080	0.175200
-48.948080	0.150800
-48.940080	-0.075100
-48.932080	0.047000
-48.924080	-0.349700
